timepoint,focal_marker,target_marker,mean_fraction_positive,sem_fraction_positive,n_organoids
day3p5-selected,Serotonin,LGR5,0.45476190476190476,0.06741031815479605,35
day3p5-selected,Serotonin,Chromogranin A,0.10238095238095238,0.03712435795873386,35
day3p5-selected,Serotonin,Mucin 2,0.0,0.0,35
day3p5-selected,Serotonin,AldoB,0.0,0.0,35
day3p5-selected,Serotonin,Glucagon,0.0,0.0,35
day3p5-selected,Serotonin,Agr2,0.1,0.043321480818182004,35
day3p5-selected,Serotonin,Serotonin,0.10476190476190476,0.029653865527048552,35
day3p5-selected,Serotonin,Lysozyme,0.014285714285714285,0.014285714285714287,35
day3p5-selected,Lysozyme,LGR5,0.25499050269458434,0.04854753421927723,49
day3p5-selected,Lysozyme,Chromogranin A,0.0,0.0,49
day3p5-selected,Lysozyme,Mucin 2,0.056895485466914045,0.021777779254911294,49
day3p5-selected,Lysozyme,AldoB,0.0029154518950437317,0.002915451895043731,49
day3p5-selected,Lysozyme,Glucagon,0.0,0.0,49
day3p5-selected,Lysozyme,Agr2,0.171483788320523,0.03363087636286495,49
day3p5-selected,Lysozyme,Serotonin,0.0,0.0,49
day3p5-selected,Lysozyme,Lysozyme,0.11684115204523368,0.020408817899664443,49
